src,VPC_Candidate,mt,ref,score,year,system
"""For the past three years, I have carried out my duties as head coach and vice president of hockey operations for the Colorado Avalanche with energy, passion and determination,"" the 50-year-old Roy said in the statement.",carried out,"""Za poslední tři roky jsem plnil své funkce hlavního trenéra a viceprezidenta hokejové operace pro Colorado Avalanche s energií, vášní a odhodláním,"" uvedl v prohlášení padesátiletý Roy.","„Poslední tři roky jsem působil jako hlavní trenér a viceprezident hokejových operací pro Colorado Avalanche, s energií, vášní a odhodláním,“ uvedl padesátiletý Roy v prohlášení.",1.14807009222377,17,uedin-nmt
"""I think we still might take them up on it,"" Mr. Rodriguez said.",take up,"""Myslím, že bychom je ještě mohli vzít s sebou,"" řekl pan Rodriguez.","„Myslím, že bychom to stále mohli využít,“ řekl Rodriguez.",-0.50346836465316,17,uedin-nmt
"""Shame on you,"" another post stated, pointing out that the hotel, located in the noble Kurfurstendamm street stands near a synagogue.",pointing out,"""Styďte se,"" prohlásil jiný post a poukázal na to, že hotel umístěný ve vznešené Kurfurstendamské ulici stojí nedaleko synagogy.","„Hanba vám,“ uvádí se v jiném příspěvku, který poukazuje na to, že hotel, který se nachází v noblesní ulici Kurfurstendamm, stojí nedaleko synagogy.",1.29562461711615,17,uedin-nmt
"""She loves to take the arms and the legs off and they love to sit next to each other without the prosthetics on.""",take off,"""Ráda bere ruce a nohy a rády sedí vedle sebe bez protézy.""","Dodala, že její dcerka ráda panence sundává ruce a nohy a pak společně sedí bez protéz.",1.06721932656702,17,uedin-nmt
"""We have shut down twenty mosques since December and other will follow,"" said the Interior Minister Bernard Cazeneuve.",shut down,"""Od prosince jsme zavřeli dvacet mešit a další budou následovat,"" uvedl ministr vnitra Bernard Cazeneuve.","""Od prosince jsme jich zavřeli dvacet a další budou následovat,"" uvedl ministr vnitra Bernard Cazeneuve.",1.36838048092123,17,uedin-nmt
"""We woke up and the water kept on coming,"" Hansford said.",woke up,"""Probudili jsme se a voda pokračovala dál,"" řekl Hansford.","„Vzbudili jsme se a voda se blížila,“ řekl Hansford.",0.285180693113267,17,uedin-nmt
'Everyone was staring as she took the knickers off again and obviously didn't like them because she put them back on the shelf.',took off,"""Všichni zírali, jak si zase sundávala kalhotky a očividně je neměla ráda, protože je dala zpátky na poličku.""","„Každý jen zíral, jak si kalhotky znovu svlékla, a evidentně se jí nelíbily, protože je vrátila zpět do regálu.“",0.452288800185383,17,uedin-nmt
"'I'd hate to get home with a new pair of knickers and find another woman had put them on and taken them off again, and they hadn't been washed.'",put on,"""Nerad bych se dostal domů s novými kalhotkami a našel si jinou ženu, která by si je oblékla a zase si je sundala, a nebyly umyté.""","„Děsila by mě představa, že si přinesu domů nové kalhotky a zjistím, že je na sobě měla jiná žena, svlékla si je a že nebyly vyprané.“",-1.47146241106,17,uedin-nmt
"A generation who played the game when younger have joined the craze, jumping off the couch for the search.",jumping off,"Generace, která hrála hru, když mladší se přidala ke krasobruslení, skákala z gauče kvůli pátrání.","Mánie zachvátila generaci, která v mladším věku hru hrála, zvedá ji ze sedaček a žene ven hledat Pokémony.",-1.29667672576868,17,uedin-nmt
"After Verb closed, she said, she gave up drinking coffee for a while.",gave up,"Poté, co Verb zavřela, řekla, že se na chvíli vzdala pití kávy.","Řekla, že když Verb zavřel, na nějakou dobu úplně přestala pít kávu.",0.642385173756892,17,uedin-nmt
"After making the suggestion at a rally on Wednesday night, Mr. Trump doubled down on the assertion on Thursday, insisting in interviews that he really did intend to say that the president and Mrs. Clinton had created ISIS.",doubled down,"Po podání návrhu na shromáždění ve středu večer se pan Trump na tvrzení ve čtvrtek zdvojnásobil a v rozhovorech trval na tom, že skutečně hodlá říci, že prezident a paní Clintonová vytvořili ISIS.","Po tomto návrhu na schůzi ve středu v noci Trump výrok ve čtvrtek potvrdil a v rozhovorech trval na tom, že skutečně neměl v úmyslu říct, že prezident a H. Clintonová IS stvořili.",-1.22033950870028,17,uedin-nmt
"After the plates were cleared at Eisenberg's, she and Mr. Coe pulled out a dessert they had prepared at home: the prune dessert that President Roosevelt ate for lunch.",pulled out,"Po vyklizení talířů v Eisenbergu si ona a pan Coe vytáhli dezert, který si připravili doma: Švestkový dezert, který prezident Roosevelt jedl k obědu.","Když byly u Eisenberga čisté stoly, ona a pan Coe vytáhli dezert, který připravili doma: švestkový dezert, který prezident Roosevelt jedl k obědu.",1.32530553537253,17,uedin-nmt
"After the terrorist attacks, France is stepping up its fight against radical Islamists, and the government is calling on the Muslim minority to help.",stepping up,"Francie po teroristických útocích stupňuje svůj boj proti radikálním islamistům a vláda vyzývá muslimskou menšinu, aby pomohla.",Po teroristických útocích stupňuje Francie boj proti radikálním islamistům a na pomoc volá vláda i místní muslimskou menšinu.,1.36838048092123,17,uedin-nmt
"After truly exceptional showings of utter dominance at Beijing and London, expectations have been played down in the lead-up to Rio.",played down,Po skutečně výjimečných shopech naprosté nadvlády v Pekingu a Londýně se v čele s Riem sehrála očekávání.,"Po opravdu výjimečných výkonech, prokazujících naprostou převahu v Pekingu a v Londýně, se během příprav na Rio očekávání snížila.",-1.34753873040756,17,uedin-nmt
"Ahead of rallies in Pennsylvania on Friday, Mr. Trump continued to lash out on Twitter at the news media for harping on his every word and for being biased against him.",lash out,"Před rallye v Pensylvánii v pátek pokračoval pan Trump na Twitteru u zpravodajských médií za poškozování jeho každého slova a za to, že byl proti němu zaujatý.","Před pátečními shromážděními v Pennsylvánii Trump i nadále na Twitteru okolo sebe dštil oheň na sdělovací prostředky za to, že přemílají každé jeho slovo a jsou vůči němu zaujatí.",0.3040085696066,17,uedin-nmt
"Alcoa said the decision to close out the contracts ""does not affect Alcoa's ... ability to operate the smelter or secure electricity supply to the smelter.""",close out,"Alcoa uvedla, že rozhodnutí o uzavření smluv ""nemá vliv na schopnost společnosti Alcoa provozovat slévárnu nebo zajistit dodávky elektřiny do hutě"".","Společnost Alcoa uvedla, že rozhodnutí smlouvy ukončit „nemá dopad na její ... schopnost provozovat tavírnu nebo zabezpečit dodávky elektřiny do tavírny.“",0.657312349928263,17,uedin-nmt
"And he may not be done for some time - Dettori has previously said he would like to carry on competing until the age of 50, at least.",carry on,"A možná se mu to už nějakou dobu nepodaří - Dettori už dříve řekl, že by rád pokračoval v soutěžích až do věku padesáti let.","A možná to nebude naposledy - Dettori již dříve prohlásil, že by rád pokračoval v závodění alespoň až do 50 let.",-0.058798551426389,17,uedin-nmt
"As the book tells it, Mrs. Roosevelt's hiring of a housekeeper with no interest in flavor resulted in a White House that ""put out not only some of the dreariest food in Washington but also some of the most dismally prepared.""",put out,"Jak říká kniha, paní Rooseveltová najímá hospodyni bez zájmu o chuť, což vyústilo v Bílý dům, který ""vyřadil nejen některé z nejnudnějších potravin ve Washingtonu, ale také některé z těch nejhůře připravovaných"".","Jak kniha vypráví, paní Rooseveltová najala hospodyni, která se o chuť vůbec nezajímala. To vedlo k tomu, že se Bílém domě „nejen podávalo téměř to nejponurejší jídlo v celém Washingtonu, ale také tím nejneutěšenějším způsobem připravené.“",0.5674086462669176,17,uedin-nmt
"At a court hearing this week, Calais authorities had argued the state should be able to knock down a total of 72 makeshift shops where people inside the camp sell goods, from cigarettes to energy drinks, offer haircuts, or sell tea for 50 cents (40p) or basic meals for a few euros in makeshift restaurants.",knock down,"Při soudním jednání tento týden úřady Calais argumentovaly, že by stát měl být schopen srazit celkem 72 provizorních obchodů, kde lidé uvnitř tábora prodávají zboží, od cigaret po energetické nápoje, nabízejí účesy nebo prodávají čaj za 50 centů (40p) nebo základní jídlo za pár eur v provizorních restauracích.","Během soudního jednání tento týden úřady v Calais namítly, že stát by měl být možnost zrušit celkem 72 provizorních obchodů, kde lidé uvnitř tábora prodávají zboží, od cigaret po energetické nápoje, nabízejí stříhání vlasů, v provizorních restauracích prodávají čaj za 50 centů nebo základní pokrmy za několik euro.",0.986368560910272,17,uedin-nmt
"Based on the health complaint from a consumer after eating the Wild Smoked Salmon- pieces 100 g, with the use-by date of 22.11.2016, the Prague hygienists carried out inspections of the Albert stores at Václavské náměstí and Na Můstku.",carried out,Na základě zdravotní stížnosti spotřebitele po konzumaci Wild Smoked salmon- kusy 100 g s použitím data 22.11.2016 provedli pražští hygienici kontroly obchodů Albert u Václavského náměstí a Na Můstku.,"Na základě podnětu spotřebitele na zdravotní potíže po konzumaci potraviny Losos divoký uzený - kousky 100 g, datum spotřeby 22.11.2016 provedli pražští hygienici kontrolu v prodejnách Albert na Václavském náměstí a Na Můstku.",0.399041092032994,17,uedin-nmt
But after months of open hostility - and given the potential for utter disaster when Nato member Turkey shot down that Russian fighter jet - it is surely better that the two leaders are at least talking again.,shot down,"Ale po měsících otevřené nevraživosti - a vzhledem k potenciálu naprostého neštěstí, kdy člen NATO Turecko sestřelil ten ruský stíhací letoun - je jistě lepší, že oba lídři alespoň znovu mluví.","Ale po měsících otevřeného nepřátelství - a vzhledem k riziku naprosté katastrofy, když člen NATO Turecko sestřelilo ruský bojový letoun - je zajisté lepší, že spolu oba lídři znovu alespoň mluví.",1.09416958178594,17,uedin-nmt
"But as he faces heightened scrutiny during the final months of the presidential campaign, Mr. Trump's jokes have put his loyal allies in the uncomfortable position of having to publicly stand up for him no matter how provocative his remarks.",stand up,"Jak ale čelí zvýšené kontrole během posledních měsíců prezidentské kampaně, vtipy pana Trumpa postavily jeho věrné spojence do nepříjemné pozice, že se za něj musí veřejně postavit bez ohledu na to, jak provokuje jeho poznámky.","Ale spolu s tím, jak Trump v závěrečných měsících prezidentské kampaně čelí zvýšené pozornosti, uvedly Trumpovy vtipy do nepříjemné situace jeho oddané stoupence, kteří za ním musí veřejně stát, ať už jsou jeho poznámky jakkoliv provokativní.",-0.0985203242408872,17,uedin-nmt
"But instead of famous naked people, they're setting out to find the next generation of top models for their 2017 NU Muses calendar.",setting out,Místo slavných nahých lidí se ale chystají najít další generaci špičkových modelů pro svůj kalendář 2017 NU Muses.,Ale namísto odhalených známých osobností se snaží pro svůj kalendář 2017 NU Muses najít další generaci top modelek.,0.801070873206151,17,uedin-nmt
But remember that the safest way out of any mugging - if you're not a Krav Maga grandmaster - is to hand over your cash.,hand over,"Ale pamatujte, že nejbezpečnější cesta z každého přepadení - pokud nejste velmistr Krav Maga - je odevzdat své peníze.","Nezapomeňte ale, že nejbezpečnějším způsobem, jak se z přepadení dostat - pokud nejste velmistrem Krav Maga - je vydat veškerou hotovost.",1.14807009222377,17,uedin-nmt
