src,LVC_Candidate,mt,ref,score,year,system
A company spokesman did not give further details on Friday.,give detail,Ein Unternehmenssprecher gab am Freitag keine weiteren Angaben.,Details wollte ein Unternehmenssprecher am Freitag nicht nennen.,0.953459216405889,17,LMU-nmt-reranked
A few weeks ago he gave a presentation at the Water Forum for the District of Lower Franconia as a true practitioner of the Veitensteingruppe's successful nitrate reduction concept.,give presentation,Vor einigen Wochen gab er eine Präsentation auf dem Wasserforum für den Landkreis Unterfranken als wahrer Mediziner des erfolgreichen Nitratreduktionskonzeptes der Veitensteigruppe.,Vor wenigen Wochen habe er als echter Praktiker das Erfolgskonzept der Veitensteingruppe zur Nitratsenkung vor dem Wasserforum des Bezirks Unterfranken präsentieren dürfen.,-0.43538546755691543,17,LMU-nmt-reranked
"Ahead of the summer games in Brazil, the World Anti-Doping Agency had put a lot of pressure on the African country to introduce an anti-doping law and a functioning system of checks.",put lot,"Vor den Sommerspielen in Brasilien hatte die Welt-Anti-Doping-Agentur viel Druck auf das afrikanische Land ausgeübt, um ein Anti-Doping-Gesetz und ein funktionierendes Kontrollsystem einzuführen.","Die Welt-Anti-Doping-Agentur hatte vor den Sommerspielen in Brasilien viel Druck auf das afrikanische Land ausgeübt, ein Anti-Doping-Gesetz und ein funktionierendes Kontrollsystem zu schaffen.",1.16851268433334,17,LMU-nmt-reranked
"At the Defcon hacker conference, security researchers demonstrated how they could take control of a thermostat connected to the internet.",take control,"Auf der Defcon-Hackerkonferenz demonstrierten Sicherheitsforscher, wie sie die Kontrolle über einen Thermostat im Internet übernehmen könnten.","Auf der Hackerkonferenz Defcon demonstrierten Sicherheitsforscher, wie sie ein mit dem Internet verbundenes Thermostat unter ihre Kontrolle bekommen konnten.",0.860218029528298,17,LMU-nmt-reranked
"Behind every rowing gold is a battalion of willing hands contributing the incremental gains that make the difference, and no hands were more instrumental than those of a coach who 30 months ago did not know whether he would live to see this day when diagnosed with cancer.",make difference,"Hinter jedem Rudergold steckt ein Bataillon der bereitwilligen Hände, das die inkrementellen Gewinne trägt, die den Unterschied ausmachen, und keine Hände waren maßgeblicher als jene eines Trainers, der vor 30 Monaten nicht wusste, ob er an diesem Tag bei der Diagnose Krebs zu sehen wäre.","Hinter jedem Gold im Rudern steckt ein Bataillon an willigen Helfern, die zu den inkrementellen Fortschritten beitragen, die den Unterschied ausmachen und es war niemand behilflicher als der Trainer, der vor 30 Monaten nicht wusste, ob er diesen Tag überhaupt überleben würde, als bei ihm Krebs diagnostiziert wurde.",0.368568480023588,17,LMU-nmt-reranked
"But, as Vladimir Putin greeted his Turkish counterpart in the gilded hall of a St. Petersburg palace, I got the distinct impression that Ankara wants this reconciliation the most.",get impression,"Doch als Wladimir Putin sein türkisches Pendant in der vergoldeten Halle eines Peterspalastes begrüßte, habe ich den deutlichen Eindruck, dass Ankara diese Versöhnung am meisten will.","Aber als Vladimir Putin seinen türkischen Gegenspieler im vergoldeten Saal des St. Petersburger Palastes in Empfang nimmt, kann ich mich nicht des Eindrucks verwehren, dass Ankara diese Versöhnung am meisten will.",1.0701905522326,17,LMU-nmt-reranked
"Even after she moved to Greenpoint, she would still make the trek.",make trek,"Auch nachdem sie nach Greenpoint wechselte, würde sie noch die Wanderung machen.","Selbst nachdem sie nach Greenpoint gezogen war, würde sie den Weg auf sich nehmen.",-0.127811255234399,17,LMU-nmt-reranked
"For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.",make effort,"Für mich war das die große Attraktion von Heathrow, genauso wie bei London 2012, wo wir enorme Anstrengungen unternommen haben, um sicherzustellen, dass alle unsere Nationen und Regionen von den Spielen profitierten.","Für mich stellte das die größte Attraktion Heathrows dar, genauso wie damals in 2012 in London, als wir einen großen Aufwand betrieben, um sicherzustellen, dass all unsere Nationen und Regionen von den Spielen profitierten.",1.050735329594815,17,LMU-nmt-reranked
"From October to December, young people aged between 14 and 20 with and without a migrant and refugee background will have the chance to attend professionally-led courses for singing, dancing, acting, and music.",have chance,"Von Oktober bis Dezember haben Jugendliche im Alter zwischen 14 und 20 Jahren mit und ohne Wander- und Flüchtlingshintergrund die Chance, professionell geführte Kurse zum singen, Tanzen, Schauspiel und Musik zu besuchen.","Von Oktober bis Dezember sollen Jugendliche mit und ohne Flucht- und Migrationshintergrund zwischen 14 und 20 Jahren die Möglichkeit erhalten, professionell angeleitete Kurse in den Bereichen Gesang, Tanz, Schauspiel und Musik zu besuchen.",0.440455703923149,17,LMU-nmt-reranked
If he does not then junior doctors are clear that they are prepared to take further industrial action.,take action,"Wenn er es nicht tut, sind Ärzte klar, dass sie bereit sind, weitere Industriemaßnahmen zu ergreifen.","Sollte er dies nicht tun, so haben es die Assistenzärzte deutlich gemacht, dass sie bereit sind, weitere Arbeitskampfmaßnahmen durchzuführen.",-0.03822544202322285,17,LMU-nmt-reranked
"In addition to the situation regarding the attempted coup in Turkey, the British vote to leave the EU had also had an impact, a spokeswoman said.",have impact,"Neben der Situation bezüglich des versuchten Putsches in der Türkei hatte auch die britische Stimme, die EU zu verlassen, eine Wirkung gehabt, sagte eine Sprecherin.","Neben der Situation rund um den Putschversuch in der Türkei habe auch das britische Votum zum Austritt aus der EU belastet, erläuterte eine Sprecherin.",0.021548582334519006,17,LMU-nmt-reranked
"In response to the government's silence, JDC exec has today made a formal request for a special meeting of BMA Council to authorise a rolling programme of escalated industrial action beginning in early September.",make request,"Als Reaktion auf das Schweigen der Regierung hat JDC exec heute einen formellen Antrag auf eine Sondersitzung des BMA-Rates gestellt, um Anfang September ein Walzprogramm der eskalierten Industrieaktion zu genehmigen.","Als Antwort auf das Schweigen der Regierung hat der JDC Vorstand heute einen formalen Antrag auf ein spezielles Treffen des BMA Rates gestellt, um ein laufendes Programm eskalierender Arbeitskampfmaßnahmen, das Anfang September beginnt, zu genehmigen.",-0.640017942931066,17,LMU-nmt-reranked
"In the 2011 elections, the SPD had a clear victory over the CDU (35.6 percent versus 22 percent).",have victory,"Bei den Wahlen 2011 hatte die SPD einen klaren Sieg über die CDU (35,6 Prozent gegenüber 22 Prozent).","Bei der Wahl 2011 hatte die SPD noch klar mit 35,6 Prozent vor der CDU (22) gewonnen.",0.707709536247056,17,LMU-nmt-reranked
"They live in the north of Munich, in one of the few decentralised accommodation centres in Bavaria for refugee women and their children who have made the journey alone.",make journey,"Sie leben im Norden von München, in einem der wenigen dezentralen Unterbringungszentren in Bayern für Flüchtlingsfrauen und ihre Kinder, die allein die Reise gemacht haben.",Sie leben im Münchner Norden in einer der wenigen dezentralen Unterkünfte für alleingeflüchtete Frauen und ihre Kinder in Bayern.,0.989797466710602,17,LMU-nmt-reranked
