src,mt,ref,score,year,system
"""It was not a popular addition to the dinner table,"" Mr. Coe said.",Coe说：“这并不是一个普遍的及。”,科先生说道：“这在晚餐的餐桌上并不常见。”,1.46645936638592,2017,REFERENCE
Colorado executive vice president/general manager Joe Sakic confirmed the move and noted that the club will begin a search for a new coach immediately.,科罗拉多州执行副总裁兼总经理乔证实了这一举动，并指出俱乐部将立即开始寻找新的教练。,科罗拉多执行副总裁总经理乔·萨奇斯确认了这一消息并且表示俱乐部将立刻开始寻找新的主教练。,1.08865499972171,2017,REFERENCE
"At the court, the victim's family asked Han to compensate for a total of 530,000 yuan in the form of funeral expenses and compensation for death.",在法庭上，受害者的家人要求韩给补偿元，以丧葬费用和死亡补偿的形式赔偿元。,庭上，被害人家属要求韩某赔偿丧葬费、死亡赔偿金等共计53万余元。,1.05079251852517,2017,REFERENCE
The eviction was hailed by relieved neighbours who said their lives had been made a living hell.,被释放的邻居们对这次驱逐表示欢迎，他们说他们的生活已成为一个活生生的地狱。,终于松了口气的邻居们为此欢呼不已，他们表示，之前的生活简直是人间地狱。,1.08865499972171,2017,REFERENCE
The Glaswegian 23-year-old was in the anchor role that his fellow Scotsman Sir Chris Hoy made his own and the youngster did the legend proud as he stormed home to snatch victory from the favoured New Zealand outfit.,23岁的格拉斯哥是他的苏格兰人克里斯·霍伊爵士自己的角色，这位年轻的年轻人在他的传奇中感到自豪，因为他冲进家，从的新西兰服装中夺取胜利。,这位23岁的格拉斯哥自行车手代替了他的苏格兰同胞——克里斯·霍伊爵士，成为了队伍的中坚。当年轻的斯金纳击败夺冠热门新西兰队并载誉而归时，就连这位传奇自行车手也为他感到骄傲。,1.25060314479525,2017,REFERENCE
"At the release of the news of the meeting, the Russian energy minister Novak said that it was unnecessary to conduct a new round of frozen production negotiations under the current oil price.",在发表会议消息时，俄罗斯能源部长诺瓦克说，在目前的石油价格下进行新一轮冻结生产谈判是没有必要的。,召开会议的消息刚出，俄罗斯能源部长诺瓦克就表示，当前油价下没有进行新一轮冻产谈判的必要。,1.08865499972171,2017,REFERENCE
"The researchers thus wrote in the paper that the Greenland shark was known as the vertebrate with the longest life span on the Earth, surpassing the age of the previous longevity champion black right whale (211 years).",因此，研究人员在论文中写道，格陵兰鲨鱼被称为地球上寿命最长的脊椎动物，超过了前长寿冠军黑人(211岁)的年龄。,研究人员因此在论文中写道，格陵兰鲨是地球上已知的、最长寿的脊椎动物，超过了以前的长寿冠军露脊鲸（211岁）。,1.08865499972171,2017,REFERENCE
"To participate in sport is so important, especially for girls.",参加体育活动是如此重要，尤其是对女孩来说。,参加运动意义重大，对女孩来说尤其如此。,1.30069020315576,2017,REFERENCE
"On May 23, 1967, a strong solar storm caused strong interference to the radar and radio communications of the US military in the Arctic.",1967年5月23日，一场强烈的太阳风暴严重干扰了美国军方在北极的雷达和无线电通信。,1967年5月23日，一场强烈的太阳风暴对美国军方位于北极的雷达与无线电通信造成强烈干扰。,1.30069020315576,2017,REFERENCE
"There are 150 acres of orchards and more than 10 species, but only 12 workers plus a technical engineer are ok.",有150英亩的果园和10个以上的果园，但只有12名工人加上技术工程师。,全村150亩果园，10多个树种，只需要12位工人加1位技术工程师。,1.25060314479525,2017,REFERENCE
"While participating in the training course just now, she did not know where to start in painting and calligraphy. As a result, after the end of the course, she has been able to draw and write her own works.",在现在参加培训课程的同时，她不知道在绘画和书法方面的起点。结果，在课程结束后，她能够画出自己的作品。,刚刚参加培训班时，自己对于书画完全不知道从哪里下手，结果在培训班结束后，已经能画出和写出自己的作品。,1.25060314479525,2017,REFERENCE
The little grandson was aged 11 years old. He was plagued with barbiers at his left foot since 3 years old.,这位小孙子年龄在11岁。自从3岁以来，他的左脚被克里斯托弗巴比尔困扰了。,老人的小孙子今年11岁，从孩子3岁开始，左脚一直受“脚气”困扰。,1.46645936638592,2017,REFERENCE
"Francis Reyes, a professor of natural resources and the environment at the National Agricultural University of Nicaragua, led in the whole process of the afforestation project.",尼加拉瓜是尼加拉瓜国家农业大学的自然资源和环境教授，领导了整个造林项目。,尼加拉瓜国立农业大学自然资源和环境系的教授弗朗西斯科·雷耶斯全程带队参与了植树造林教育项目。,1.46645936638592,2017,REFERENCE
"""What happened at Centcom is unacceptable - our war fighters suffer when bad analysis is presented to senior policy makers,"" said Representative Ken Calvert, Republican of California.",加州共和党的代表肯·卡尔弗特说：“在中央司令部发生的事情是不能接受的，我们的战争战士在向高级决策者提出不良分析时受苦。”,加利福尼亚州共和党代表表示：“中央司令部的行为难以令人接受。一边是我们的战士饱受战争之苦，另一边则是高层政策制定者收到错误的分析。”,1.17216418217883,2017,REFERENCE
"Last year, Simone and Gabby were #1 and #2.",去年，西蒙娜和加比是#1和2。,去年，西蒙和加布丽埃勒分列第一、第二位。,1.35017224083604,2017,REFERENCE
"In order to meet the needs of future development, the Construction Planning of Xi'an New Integrated Logistics Center has been introduced, with Xi'an Xinzhu railway station as a focus, endeavoring to build a modern new railway integrated logistics park.",为满足未来发展的需要，介绍了西安新综合物流中心建设规划，以西安新筑火车站为重点，努力建设现代化的新铁路一体化后勤。,为了满足未来发展需要，西安铁路局以新筑车站为中心的西安新筑铁路综合物流中心建设规划已经出台，全力打造现代化的新筑铁路综合物流园区。,1.35017224083604,2017,REFERENCE
"Just at yesterday's game, the Xiamen girl achieved several reversals of the shooting with her insistence.",就在昨天的比赛中，厦门女孩在她的坚持下实现了几次枪击事件。,就如同昨天的比赛，这位厦门姑娘的用坚持实现了射击之路上的一个个逆转。,1.51661268957629,2017,REFERENCE
"Rebull likens the stars to dancers, larger ones pirouetting more slowly than smaller ones.",Rebull把星星比作舞者，更大的星比小的摘要更慢。,雷布尔将恒星比作舞者，体型较大的舞者旋转时的速度慢于体型较小的舞者。,0.988693788537347,2017,REFERENCE
"At a Clinton rally last week in Omaha, Nebraska, Buffett, whose Berkshire Hathaway conglomerate is based there, challenged Trump to meet and exchange tax returns.",上周克林顿在内布拉斯加州的一次集会上，巴菲特(于)的伯克希尔企业公司在那里，向特朗普提出挑战，要求他们会晤并交换税收回报。,上周，克林顿在伯克希尔·哈撒韦公司所在的内布拉斯加州奥马哈举行了一次集会，巴菲特在会上要求特朗普见面并交换纳税申报单。,1.01905907688309,2017,REFERENCE
"Michael Martin, Forth Crossing Bridge Constructors project director said: ""The first closure on any bridge project is always a significant milestone.",规定项目主任迈克尔·马丁说：“任何桥梁项目的第一次关闭都是一个重要的里程碑。,"昆斯费里大桥建造公司项目总监 Michael Martin 说：""不管是哪个大桥项目，第一次合龙都是一个重大里程碑。""",1.04942436522883,2017,REFERENCE
The incident happened on the A1 near Morges in the canton of Vaud just after midnight on Thursday.,这一事件发生在星期四附近的A1附近的A1附近。,这场事故发生在周四凌晨沃州莫尔日附近的A1高速公路上。,1.50727658967006,2017,REFERENCE
CBC Olympics commentator apologizes for saying Chinese swimmer 'died like a pig',广播公司奥运评论员对中国游泳运动员像猪一样死去的说法表示歉意,CBC 奥运会解说员就中国游泳运动员“像猪一样慢”的评论道歉,1.50727658967006,2017,REFERENCE
"Highlight of the 12th day of the month: at the beginning of Track and Field Events, the Chinese team is quite busy and the women's football association aims to become the top four of the bicycle games",本月12日的亮点：在田径赛事开始时，中国队很忙，女子足球协会的目标是成为四大自行车游戏,12日看点：田径开赛中国队很忙女足冲四自行车盼突破,1.2159900392592,2017,REFERENCE
"But now, it has been judged right to let more national brands come to the fore.",但现在，人们认为，让更多的国家品牌脱颖而出是正确的。,但是现在，正确的做法是让更多的国家品牌崭露头角。,1.2159900392592,2017,REFERENCE
Dynamic on vault.,动态的动态。,跳马时充满活力。,1.2159900392592,2017,REFERENCE
"""Your move,"" Clinton campaign aide Ian Sams said on Twitter, linking to the Democratic nominee's returns.",克林顿竞选助手伊恩·评估在Twitter上说，与民主党候选人的回报相联系。,克林顿竞选助手伊恩·萨姆斯在推特上表示由你们做主，并且附上了民主党候选人的纳税申报单链接。,1.0929566353607,2017,REFERENCE
"It's a dangerous world out there, but this video from Dailymail.com might help make it a little safer for you.",这是一个危险的世界，但这的这段视频可能会使你更加安全。,这个世界很危险，但是 Dailymail.com 上的这个视频或许能带给你一点安全感。,1.12833832509845,2017,REFERENCE
Biles earned the first one on Tuesday while serving as the exclamation point to retiring national team coordinator Martha Karolyi's going away party.,拜尔斯在周二获得第一个一，同时作为退休的国家队协调员玛莎·卡罗伊下台的缔约方。,拜尔斯于周二斩获第一枚金牌，给即将退役的国家队教练卡罗利 (Martha Karolyi) 的欢送会奉上一份惊喜的厚礼。,1.17216418217883,2017,REFERENCE
The red wine at the dinner was provided by Li Youcai while other costs were borne by Liu.,李的红酒是李有才提供的，而其他费用则由刘有才承担。,当晚饮用的红酒由黎友才个人提供，其他费用由刘某某个人承担。,1.00006741167049,2017,REFERENCE
And Snapchat's huge audience of younger people - who are more racially diverse than their older counterparts - might mean that they are even more likely to expect sensitivity.,而Snapchat的广大观众——比他们的年龄更多的种族，可能意味着他们更有可能期待敏感。,Snapchat庞大的年轻群体由于比老一辈更加注重种族的多元化，因此可能会十分敏感。,1.28328630797292,2017,REFERENCE
Mr. Coe grimaced.,先生。,科先生扮了个怪相。,1.37405425472481,2017,REFERENCE
One said: 'They didn't care about anybody.',一个人说：“他们不关心任何人”,一位邻居说道：“他们不在乎任何人。”,1.37405425472481,2017,REFERENCE
"Currently, a voter merely has to state their name and address.",目前，选民只需要说明他们的姓名和地址。,目前，选民只需报出自己的姓名和地址即可。,1.51661268957629,2017,REFERENCE
Last year a police officer was acquitted of causing death by negligence after she hit and killed a man who was lying on the A1 near Paynerne one night in August 2014.,去年8月一天晚上，一名警察在Paynerne附近的A1附近打死一名男子后，被判无罪。,去年，一名警官被指控因疏忽而致人死亡，指控的内容是2014年8月，她在帕耶讷附近的A1高速公路上撞击了一名男子并且致其死亡。,1.25060314479525,2017,REFERENCE
"Although the total value of imports and exports fell year on year, the export data enjoyed growth. This is the fifth consecutive month for export to achieve growth since March this year.",虽然进出口的总值逐年下降，但出口数据仍有增长。这是今年3月以来出口连续第五个月。,尽管进出口总值同比依然下降，但出口数据出现了增长，这也是自今年3月以来，出口实现连续第五个月增长。,1.08865499972171,2017,REFERENCE
"In Costa Rica, one of the Central American countries, Toucan Gracia and its story have long been known.",在哥斯达黎加，中美洲国家之一，巨嘴鸟·格雷希亚及其故事由来已久。,在中美洲国家哥斯达黎加，巨嘴鸟格雷西亚和它的故事早已家喻户晓。,1.25060314479525,2017,REFERENCE
I have thought long and hard over the course of the summer about how I might improve this team to give it the depth it needs and bring it to a higher level.,在夏天的过程中，我对如何改进这支团队以给予它所需的深度并将其提升到更高的水平。,我在整个夏季认真思考了该如何改进这支球队，使其具备更上一层楼的实力。,1.25060314479525,2017,REFERENCE
"Central Command, known as Centcom, is the military headquarters in Tampa, Fla., that oversees American military operations across the Middle East and Central Asia.",中央司令部称为中央司令部，是佛罗里达州坦帕的军事总部。监督美国在中东和中亚的军事行动。,位于佛罗里达州坦帕的中央司令部 (Centcom) 是负责监管美国在中东和中亚地区的军事行动的军事总部。,1.30069020315576,2017,REFERENCE
"Clinton's running mate, U.S. Senator Tim Kaine of Virginia, along with his wife, Anne Holton, released 10 years of tax returns.",克林顿的竞选伙伴，美国弗吉尼亚州参议员蒂姆·凯恩，以及他的妻子安妮·同样，释放了10年的报税。,克林顿的竞选伙伴——弗吉尼亚州联邦国参议员蒂姆·凯恩和他的妻子安妮·霍尔顿公布了10年的纳税申报单。,1.72554419469105,2017,REFERENCE
"The backcourt range of he and Londo is limited. The three-point hit rate of headed star Butler is just 32.8%, making their next-season offence quite challenging.",他和伦敦的backcourt范围有限。户主追回被盗资产举措的三点击中只是32.8，使他们的下一季的犯罪具有很大的挑战性。,他和隆多组成的后场射程有限，当家球星巴特勒的三分命中率也只有32.8%，这让他们下赛季的进攻会打得很拥挤。,1.25060314479525,2017,REFERENCE
"As of Wednesday's close, the light crude oil futures of New York Mercantile Exchange fell by 2.48% in September and the future price of crude oil in October in London Brent fell by 2.07%.",截至周三，纽约商品交易所的轻质原油期货在9月份下跌了2.48，而未来10月在伦敦布伦特原油价格下跌了2.07。,截至周三收盘，纽约商品交易所9月交货的轻质原油期货价格下跌2.48%，10月交货的伦敦布伦特原油期货价格下跌2.07%。,1.30069020315576,2017,REFERENCE
Covitova will compete with Pugue for a final coupon and another final seat will be produced between Keith and Kobel.,Covitova将与Pugue竞争最后一张优惠券，另一个最后一个席位将在基思和Kobel之间生产。,科维托娃将与普伊格争夺一张决赛的入场券，而另外一个决赛席位将在凯斯和科贝尔之间产生。,1.30069020315576,2017,REFERENCE
'He is a good-looking dude so I guess it's a compliment.',他是个很帅的家伙，所以我想这是个compliment.。,“他是一个长相帅气的花花公子，所以我想这是对我的夸赞吧。”,1.30069020315576,2017,REFERENCE
"In August, 2012, after serious failing in the London Olympic Games, Du Li announced the application for a temporary retirement to the International Stainless Steel Forum (ISSF).",2012年8月，在伦敦奥运会严重失败后，李宣布申请临时退休国际不锈钢论坛(伊斯兰体联)。,2012年8月，折戟伦敦奥运会后，杜丽向国际射联申报了暂时退役申请。,1.46645936638592,2017,REFERENCE
"At the very least, Ning Zetao can totally rely on his great looks to win the support of thousands of huge fans.",至少，宁可以完全依靠他的伟大的外表来赢得成千上万的球迷的支持。,退一万步说，宁泽涛长得帅，完全可以依靠颜值获得万千脑残粉的支持。,1.2159900392592,2017,REFERENCE
"Ex-Tower Hamlets mayor Lutfur Rahman was removed from office last year for corruption, prompting the government report",td/b/ex市长Lutfur去年因腐败被免职，引起政府的报告,Tower Hamlets 前市长拉赫曼 (Lutfur Rahman) 因腐败去年惨遭革职，促使一份政府报告的发表。,1.47771028210081,2017,REFERENCE
"Because you are exposed to sun longer during the military training, you have to apply the sunscreen products once every two hours to lengthen the effect. So keep doing it.",因为在军事训练中你暴露了更长的时间，所以你必须每两个小时使用一次防晒霜，以延长效果。所以继续做这件事。,军训日晒时间较长，防晒霜每隔两小时擦一次才能有持久效果，千万不要偷懒。,1.57126830736359,2017,REFERENCE
"According to the report, the goal of the Tajikistan government is to control the annual inflation rate in 2016 as 7.5% while that in 2015 was 5.1%.",根据该报告，塔吉克斯坦政府的目标是将2016年的年通货膨胀率控制为7.5%，而2015年为5.1%。,报道称，塔政府的目标是计划将2016年的年通胀率控制在7.5%的水平，而2015年塔国的通胀率为5.1%。,1.72554419469105,2017,REFERENCE
The company's rate reduction follows a 10 percent decrease for onshore contractors in 2014.,该公司的利率下降比2014年的岸上承包商下降了10%。,此次减薪前，该公司在2014年将海上承包商的报酬降低了10%。,1.60090664076264,2017,REFERENCE
"Now Gracia has been able to use the new beak to drink water, eat, and even peck fine grains.",现在，格雷希亚能够使用新的喙来喝水，吃，甚至派克好。,如今格雷西亚已能熟练使用新喙喝水、吃东西，甚至啄起细小谷粒。,1.42872765173497,2017,REFERENCE
"The representatives of Bundesliga, Bayern Munich, Dortmund and the famous star Thomas Muller, Ram and Goetze have become a household name in China.",德甲、拜仁、多特蒙德、著名、档案管理和Goetze的代表在中国成为家喻户晓的名字。,德甲豪门的代表拜仁慕尼黑、多特蒙德和著名球星托马斯·穆勒、拉姆、格策等在中国可谓家喻户晓。,1.12701941169498,2017,REFERENCE
"""The Pleiades star cluster provides an anchor for theoretical models of stellar rotation going both directions, younger and older,"" said Rebull.",Rebull·Rebull说：“星团为恒星旋转的理论模型提供了一个锚。”,雷布尔表示：“昂宿星团为年轻与年迈恒星的双向旋转理论模型奠定了基础。”,1.01905907688309,2017,REFERENCE
"As the skin has just been stimulated by the sun's sake, do not immediately use whitening products after returning from military training.",由于皮肤刚刚受到太阳的刺激，在从军事训练返回后，不要立即使用美白产品。,由于皮肤刚受到日晒刺激的缘故，军训回来不要立刻用美白产品。,1.01905907688309,2017,REFERENCE
"It was Americans who had sent food to starving Europeans during World War I. ""A Square Meal"" chronicles the ways the nation coped with suddenly not being the land of plenty.",这是美国人在第一次世界大战期间向饥饿的欧洲人运送食物的人。,一战中，正是美国人将食物送给了饥饿的欧洲人。《丰盛大餐》记录了这个国家是如何突然不再成为一个富足之地。,1.04942436522883,2017,REFERENCE
Rowing in itself is a journey but that makes it a bit bigger.,划船本身就是一次旅行，但使它变得更大了。,赛艇运动本身是一次旅程，而这让这段旅程变得更长一点。,1.01905907688309,2017,REFERENCE
It was just incredible.,这是令人难以置信的。,这太令人难以置信了。,1.01905907688309,2017,REFERENCE
I'm not really one of those people who keeps track of their goals.,我不是那些跟踪他们目标的人之一。,我不是那种会记住自己进过几个球的人。,1.46683648813305,2017,REFERENCE
"On August 12, reporters was informed that the Beijing 2022 Winter Olympics and the Winter Paralympic Organizing Committee issued a notice that the Beijing Winter Olympic Organizing Committee inherited the emblem and signs of Beijing Olympic Winter Games for commercial purposes.",8月12日，记者被告知，北京2022冬季奥运会和冬季残奥会组委会发布了一份通知，说北京冬奥会委员会为商业目的继承了北京冬奥会的标志和标志。,记者8月12日获悉，北京2022年冬奥会和冬残奥会组织委员会发布公告表明，北京冬奥组委继承北京冬奥申委会徽、标志等知识产权。,1.2159900392592,2017,REFERENCE
"However, the government eat their words and delayed again and again.",然而，政府吃了他们的话，又一次又一次地耽搁了。,然而政府言而无信，一拖再拖。,1.2159900392592,2017,REFERENCE
