src,LVC_Candidate,mt,ref,score,year,system
"During the tour, tourists have the opportunity to have the warder lock them up in a cell, mainly as a photo op but also to experience for themselves what it is like to be behind bars.",have opportunity,"Během prohlídky mají turisté možnost mít zaklínače zamknout v cele, hlavně jako fotomontáž, ale také aby sami zažili, jaké to je být za mřížemi.","V rámci prohlídky se mohou turisté nechat zavřít do jedné z cel, většinou kvůli fotografii na památku, nebo aby si navodili pocit, který za mřížemi prožívají vězni.",1.56152369385479,2017,REFERENCE
I never had anybody having a problem with me because of me being a Muslim.,have problem,"Nikdy jsem neměl žádný problém s tím, že jsem muslim.","Ale že by měl někdo problém s tím, že jsem muslimka, to se mi ještě nestalo.",1.33605920223974,2017,REFERENCE
"Still, despite the public display of reconciliation, the two still have major differences.",have difference,"Přesto, že navzdory veřejným projevům smíření, oba stále zásadní rozdíly.","Ovšem navzdory tomu, že veřejně ukázaly vzájemné usmíření, jsou mezi těmito dvěma zeměmi zásadní rozdíly.",1.14807009222377,2017,REFERENCE
We made too many mistakes.,make mistake,Udělali jsme příliš mnoho chyb.,Udělaly jsme moc chyb.,1.14807009222377,2017,REFERENCE
"Oscar winner and Dior ambassador Jennifer Lawrence was featured in 2013, the year after Lady Gaga had the honour.",have honour,"Oscarový vítěz a Dior velvyslanec Jennifer Lawrence byl uveden v roce 2013, rok poté, co Lady Gaga měla tu čest.","Jennifer Lawrence, držitelka Oscara a ambasadorka značky Dior, se na titulce objevila v roce 2013, o rok později měla tu čest Lagy Gaga.",1.88756831648402,2017,REFERENCE
"The evidence shows that ticagrelor, in combination with aspirin, is effective at reducing the risk of further heart attacks and strokes in people who have already had a heart attack.",have attack,"Z důkazů vyplývá, že Tiso, v kombinaci s aspirinem, je účinný při snižování rizika dalších infarktů a mrtvic u lidí, kteří už měli infarkt.","Je prokázáno, že Ticagrelor v kombinaci s aspirinem je účinný ve snižování nebezpečí dalších srdečních záchvatů a mrtvice u lidí, které již infarkt postihl.",1.52760951489706,2017,REFERENCE
But the visit also had additional political value for Moscow.,have value,Návštěva ale měla i další politickou hodnotu Moskvy.,Návštěva ale měla pro Moskvu další politickou hodnotu.,1.88756831648402,2017,REFERENCE
"I'm now saying we no longer have global aspirations, we have local aspirations.",have aspiration,"Neříkám teď, že už nemáme globální ambice, máme místní ambice.","Nyní říkám, že již globální aspirace nemáme, máme snahy zaměřené na domácí scénu.",1.10297051090657,2017,REFERENCE
"I use services such as Uber or Liftago, where the drivers have no chance to cheat",have chance,"Využívám služby jako Uber nebo Liftago, kde řidiči nemají šanci podvádět","Využívám služby jako je Uber nebo Liftago, kde neexistuje možnost podvodu.",1.10297051090657,2017,REFERENCE
"The evidence shows that ticagrelor, in combination with aspirin, is effective at reducing the risk of further heart attacks and strokes in people who have already had a heart attack.",have attack,"Z důkazů vyplývá, že Tiso, v kombinaci s aspirinem, je účinný při snižování rizika dalších infarktů a mrtvic u lidí, kteří už měli infarkt.","Je prokázáno, že Ticagrelor v kombinaci s aspirinem je účinný ve snižování nebezpečí dalších srdečních záchvatů a mrtvice u lidí, které již infarkt postihl.",1.84614572425677,2017,REFERENCE
I have made one big mistake.,make mistake,Udělal jsem jednu velkou chybu.,Jednou jsem udělala velkou chybu.,1.14807009222377,2017,REFERENCE
But the visit also had additional political value for Moscow.,have value,Návštěva ale měla i další politickou hodnotu Moskvy.,Návštěva ale měla pro Moskvu další politickou hodnotu.,1.10297051090657,2017,REFERENCE
I have a problem with custodial sentences in general.,have problem,Mám problém s tresty odnětí svobody obecně.,Všeobecně mám problém s odnětím svobody.,1.36144221868391,2017,REFERENCE
"Even after she moved to Greenpoint, she would still make the trek.",make trek,"I poté, co se přestěhovala do Greenpointu, ještě byla cestu.","Docházela dokonce i pak, když se kavárna přestěhovala do Greenpointu.",1.57954487286017,2017,REFERENCE
"According to his lawyer, Petr Toman, a potential objection may have a chance to succeed.",have chance,Podle jeho advokáta Petra Tomana případná námitka může mít šanci uspět.,Podle jeho advokáta Petra Tomana by ale případná námitka měla šanci na úspěch.,1.49599435985634,2017,REFERENCE
"She made a long run with the ball down the left side of the field, then curled into the middle and whipped the ball into the goal to give the Americans a 2-0 lead.",make run,"Udělala dlouhý běh s míčem po levé straně hřiště, pak se stočila do středu a švihla míč do branky, aby Američanům dala náskok 2: 0.","Unikla po levé straně hracího pole, pak se prokličkovala do středu a vstřelila míček do branky, aby dostala Američanky do vedení 2:0.",2.03764757352557,2017,REFERENCE
"Some 140,000 people have a heart attack in England every year, and a quarter of these go on to have another attack or a stroke.",have attack,Zhruba 140 tisíc lidí má každý rok infarkt v Anglii a čtvrtina z nich se chystá na další útok nebo mrtvici.,V Anglii infarktem utrpí každý rok asi 140 000 lidí a čtvrtinu z nich postihne ještě další záchvat nebo srdeční mrtvice.,2.03764757352557,2017,REFERENCE
"I have a tendency to think about what might go wrong, Bond admitted who clearly demonstrated during the press conference that Murray had the more dominant personality of the two.",have tendency,"Mám tendenci přemýšlet nad tím, co by se mohlo pokazit, Bond přiznal, že během tiskové konference jasně prokázal, že Murray měl dominantnější osobnost obou.","Já mám tendenci přemýšlet nad tím, co se může pokazit, přiznal Bond, který i na tiskové konferenci názorně předvedl, že dominantní v posádce je Murray.",1.52836497046097,2017,REFERENCE
