src,VID_Candidate,mt,ref,score,year,system
"I'll sleep on it and from tomorrow, I will only remember the positive aspects of the Olympic tournament.",sleep on [pron] and from tomorrow,Budu na ní spát a od zítřka si budu pamatovat jen pozitivní aspekty olympijského turnaje.,Sluková: Já se z toho vyspím a od zítřka budu na olympijský turnaj vzpomínat jen pozitivně.,1.86209687844838,2017,REFERENCE
The novelty will wear off and use will subside in due course.,wear off,Novinka bude nosit a používat se bude v řádném termínu.,Novinka se okouká a zájem o ni začne v určitém okamžiku opadat.,1.57954487286017,2017,REFERENCE
"In a blog post, Adblock spokesperson Ben Williams wrote that ""this sort of back-and-forth battle between the open source ad-blocking community and circumventers has been going on since ad blocking was invented,"" and that it is possible Facebook would come up with its own fix soon.",come up,"V blogu blokování mluvčí Ben Williams napsal, že „tento druh on - line bitvy mezi otevřeným zdrojem ad - blokování komunity a obřími už od reklama byla vynalezena“ a že je možné, že Facebook brzy přijde s vlastním řešením, brzy.","Mluvčí Adblocku Ben Williams do příspěvku v blogu napsal, že „tahle jakási válka mezi komunitou open source blokování reklam a těmi, kdo se je snaží obejít, trvá od té doby, co bylo blokování reklam vynalezeno,“ a že Facebook pravděpodobně přijde s další vlastní opravou.",1.24718023135349,2017,REFERENCE
One Twitter user took to the site recently to declare her happiness that 'the rest of the internet thinks that Hope Solo and Jennifer Carpenter are actually identical.',take to the site,"Jeden uživatel twitteru vzal na místo nedávno prohlásit své štěstí, že 'zbytek internetu si myslí, že Hope Solo a Jennifer Carpenter jsou vlastně úplně stejný.“","Jedna uživatelka Twitteru před nedávnem na stránkách vyjádřila svou spokojenost nad tím, že „zbytek Internetu si myslí, že Hope Solová a Jennifer Carpenterová jsou v pravdě identické.“",1.10297051090657,2017,REFERENCE
"Shell, for its part, has trimmed thousands of people from its payroll and announced plans to leave oil and gas operations in up to 10 countries as it streamlines its operations in the wake of its mega-merger with British energy company BG Group.",trim for [pron] part,"Shell kvůli své roli ostříhal tisíce lidí ze své výplaty a oznámil plány na opuštění ropy a plynu v až 10 zemích, protože zefektivňuje své operace v návaznosti na její megafúzi s britskou energetickou společností BG Group.",Na druhé straně Shell vyškrtl ze svých výplatních listin tisíce lidí a oznámil plány na opuštění operací na poli ropy a zemního plynu až v 10 zemích kvůli modernizaci svých procesů - bezprostředně po mega fúzi s britskou energetickou společností BG Group.,2.03764757352557,2017,REFERENCE
"When Mr Putin came to power, he named Mr Ivanov as one of the five people he trusted most.",come to power,"Když se pan Putin dostal k moci, jmenoval pan Ivanov jako jeden z pěti lidí, kterým nejvíce důvěřoval.","Když Putin nastoupil k moci, jmenoval Ivanova jedním ze svých pěti nejbližších spolupracovníků.",1.88756831648402,2017,REFERENCE
"Shell, for its part, has trimmed thousands of people from its payroll and announced plans to leave oil and gas operations in up to 10 countries as it streamlines its operations in the wake of its mega-merger with British energy company BG Group.",trim for [pron] part,"Shell kvůli své roli ostříhal tisíce lidí ze své výplaty a oznámil plány na opuštění ropy a plynu v až 10 zemích, protože zefektivňuje své operace v návaznosti na její megafúzi s britskou energetickou společností BG Group.",Na druhé straně Shell vyškrtl ze svých výplatních listin tisíce lidí a oznámil plány na opuštění operací na poli ropy a zemního plynu až v 10 zemích kvůli modernizaci svých procesů - bezprostředně po mega fúzi s britskou energetickou společností BG Group.,1.88756831648402,2017,REFERENCE
"I hope we will get on on a personal level, and we can work well together.",get on,"Doufám, že se dostaneme na osobní úroveň a můžeme spolu dobře spolupracovat.","Snad si sedneme lidsky, aby nám to dohromady pasovalo.",1.35329201037834,2017,REFERENCE
"I hope that they will ask the official to pay for all the checks that came to nothing because of his activities, so that he realises what he has done.",come to [pron],"Doufám, že požádají úředníka, aby zaplatil za všechny kontroly, které na nic nepřišly kvůli jeho činnosti, aby si uvědomí, co udělal.","Doufám, že tomu úředníkovi naúčtují do poslední kontroly všechny zmařené kontroly, aby si uvědomil, co udělal.",1.52760951489706,2017,REFERENCE
"So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - ""yellowface.""",call it,"Takže když zatlačila do některých uživatelů tento týden, které jim daly šikmé oči, deformované zuby a pupínky, někteří kritici to označili za rasistickou karikaturu asijských lidí - „ž“.","Takže když tenhle týden uživatelům nabídla filtr, díky kterému měli šikmé oči, pokřivené zuby a nafouknuté tváře, někteří kritici to označili za rasistickou karikaturu Asiatů - „yellowface.“",1.54448439002123,2017,REFERENCE
