src,LVC_Candidate,mt,ref,score,year,system
"People leaving violent relationships, people with unmanageable and crippling debts, families going through separation, workers who are unfairly sacked - all of these people have problems with legal dimensions, and this report shows that they're not able to get the help they need.",have problem,离开暴力关系的人、无法控制和严重债务的人、分居的家庭、被不公平解雇的工人，所有这些人都有法律方面的问题，这份报告表明他们无法得到他们所需要的帮助。,需要远离暴力的人、背负无法偿还的巨额债务的人、面临分崩离析的家庭、被压榨的工人，这些人群都面临着法律层面的问题，并且该报告显示他们无法获得所需要的帮助。,1.46645936638592,2017,REFERENCE
"I'm now saying we no longer have global aspirations, we have local aspirations.",have aspiration,我现在说，我们不再有全球愿望，我们有当地的愿望。,目前，我要说的是，我们不再重点关注全球，我们已将目光转向本土。,1.63265176550511,2017,REFERENCE
"China's Mars exploration launch target is to step around, land and patrol at one time. Such task has considerable difficulty.",have difficulty,中国的火星探测发射目标是在一段时间内绕过，陆地和巡逻。这项任务有很大的困难。,我国的火星探测发射目标是想一步环绕、着陆、巡视，这个任务具有相当大的难度。,1.25060314479525,2017,REFERENCE
"Fiji gave a masterclass in handling, off-loading, side-stepping, support play, running lines and brute strength to win gold - their first Olympic medal of any colour.",give masterclass,斐济提供了处置、了、会、支持、运行、暴力，以赢得金牌——他们的第一枚任何颜色的奥运奖牌。,斐济队凭借在控球、抢断、回避、配合、跑动和力量方面无懈可击的表现夺得金牌，这也是该国有史以来的首块奥运会奖牌。,1.46683648813305,2017,REFERENCE
"Trump's critics, including 2012 Republican presidential candidate Mitt Romney and other fellow Republicans, have said his refusal raises questions about his net worth, his charitable contributions, his business dealings and various other ties, including with Russia.",raise question,特朗普的批评者，包括2012年共和党总统候选人罗姆尼和其他共和党人表示，他的拒绝引起了他的网络、慈善捐款、他的商业交易以及其他各种关系，包括与俄罗斯。,批评特朗普的人，包括2012年共和党总统候选人米特·罗姆尼和其他共和党人表示特朗普拒绝公布纳税申报单会引发对其资本净值、慈善捐款、商业交易和各种其他关系的质疑，包括与俄罗斯的关系。,1.17216418217883,2017,REFERENCE
"He had a dispute with commissaires yesterday ahead of the qualification ride, when officials summoned him to measure his height.",have dispute,他昨天与局长发生了争执，此前，官员们传唤他来衡量他的身高。,昨天他在资格赛前与比赛官员发生了争执，当时比赛官员让他测量身高。,1.42872765173497,2017,REFERENCE
"At the same time, the Martian atmosphere has a reducing effect on sunlight, which poses a problem for the energy supply for Mars detection.",have effect,同时，火星大气层对阳光产生了减少的影响，这对火星探测的能源供应造成了问题。,同时，火星大气对太阳光照还有削减作用，这为火星探测的能源供给带来难题。,1.08865499972171,2017,REFERENCE
"The company offered an explanation: The lens was meant as homage to anime characters, not as a caricature of Asian people.",offer explanation,该公司提供了一个解释：镜头是指对动画人物的敬意，而不是对亚洲人的漫画。,该公司的解释是：该滤镜是对动漫角色致敬，而非讽刺亚洲人。,1.46645936638592,2017,REFERENCE
The cargo turnover growth rate in July fell back 3.6 percentage and floods on these areas have a certain impact on traffic.,have impact,7月份货物营业额增长率下降了3.6个百分点，这些地区的洪水对交通产生了一定的影响。,7月份的货物周转运量增速比上月回落3.6个百分点，洪涝灾害对这些地区的交通有一定的影响。,1.47771028210081,2017,REFERENCE
If he does not then junior doctors are clear that they are prepared to take further industrial action.,take action,如果他不那种，那么初级医生就很清楚，他们准备采取进一步的工业行动。,如果他不这样做，初级医生明确表示他们已经准备好采取进一步的劳工行动了。,1.43168133024597,2017,REFERENCE
"Glover has a wedding to attend next month, her own to television adventurer Steve Backshall.",have wedding,格洛弗下个月参加了一次婚礼，她自己的电视冒险家史蒂夫·回。,格拉芙下个月将与电视探险员史蒂夫·巴克沙尔结婚。,1.08865499972171,2017,REFERENCE
"After returning back to Moscow, I will use the knowledge and skills learned in China to Russia and make my own contribution for the cultural transmission and promotion of the Chinese culture.",make contribution,回到莫斯科后，我将利用中国的知识和技能到俄罗斯，为中国文化的文化传播与促进做出自己的贡献。,自己回莫斯科后，一定要用所学到的知识和技能，为中华文化的传播和弘扬作出自己的贡献。,1.25060314479525,2017,REFERENCE
"As of 8 a.m., the prison authorities have not yet made a detailed statement, including how the prisoners get grenades.",make statement,截至上午8时，监狱当局尚未详细说明，包括囚犯如何获得手榴弹。,截至上午8时，狱方尚未提出详细的说明，包括囚犯如何取得手榴弹。,1.37405425472481,2017,REFERENCE
"Skeldon, 47, whose name was on the tenancy, was given an antisocial behaviour order in June.",give order,skeldon，47岁，他的名字在租约上，在6月得到了反社会的行为。,六月份，这位名叫 Skeldon 的47岁租客收到了一份反社会行为决议。,1.37405425472481,2017,REFERENCE
"7% of respondents said they have the plan to buy iPhone7, while only 4% people had the plan to buy iPhone6.",have plan,7%的受访者表示，他们有购买iphone7的计划，而只有4%的人有购买iPhone6的计划。,有7%的受访者表示他们有购买iPhone7的打算，而两年前计划购买iPhone6的人数比例只有4%。,1.51661268957629,2017,REFERENCE
I'm just out there to do my best and make a name for myself.,make name,我就是在那里尽最大的努力，为自己创造一个名字。,我只是尽我所能，让自己扬名立万而已。,1.25060314479525,2017,REFERENCE
Fear of a recurrence can have a significant negative impact on a person's quality of life.,have impact,担心再次发生会对一个人的生活质量产生重大的负面影响。,对复发的恐惧会对一个人的生活品质造成很大的负面影响。,1.22301311340631,2017,REFERENCE
"After the case, Haikou City Public Security Bureau of Interpol detachment leaders attach great importance and immediately organize a detachment of elite troops to take the initiative to investigate.",take initiative,在此案发生后，刑警组织的分遣队领导人非常重视并立即组织一支精锐部队的部队，主动进行调查。,案件发生后，海口市公安局刑警支队领导高度重视，立即组织支队一大队精干警力主动出击展开侦查。,1.72554419469105,2017,REFERENCE
"GB made wholesale changes at half-time and they plugged the Fijian dam...for all of four minutes, which by first-half standards was good, until Josua Tuisova went over after some brilliant Fijian interplay.",make change,gB对斐济的大坝进行了半小时的批发改造，在四分钟内，哪的标准是好的，直到Josua·Tuisova在斐济的一些出色的相互作用之后了。,英国队在下半场作出了巨大的改变并且在整整四分钟里冲击着斐济人的防线，就上半场而言，这一表现已经很好了。但之后斐济队打出精彩的配合，由乔舒亚·图埃索瓦再次得分。,1.25060314479525,2017,REFERENCE
"The new service has many functions, the first of which is fast efficiency, saving administrative costs; the second is respecting and protecting the privacy of citizens; and the third is all-weather and full-time service.",have function,新服务有许多功能，其中第一个功能是快速效率，节省行政费用;第二是尊重和保护公民的隐私;第三是全天候服务。,这个新服务功能一是快捷，节省行政成本；二是尊重、保护公民个人隐私；三是全天候、全时段服务。,1.32867028134887,2017,REFERENCE
"Fiji gave a masterclass in handling, off-loading, side-stepping, support play, running lines and brute strength to win gold - their first Olympic medal of any colour.",give masterclass,斐济提供了处置、了、会、支持、运行、暴力，以赢得金牌——他们的第一枚任何颜色的奥运奖牌。,斐济队凭借在控球、抢断、回避、配合、跑动和力量方面无懈可击的表现夺得金牌，这也是该国有史以来的首块奥运会奖牌。,1.00006741167049,2017,REFERENCE
He must also have a say in the decisions that impact the team's performance.,have say,他还必须对影响团队业绩的决定有发言权。,他还必需在影响球队表现的决策中拥有发言权。,1.17216418217883,2017,REFERENCE
This means like a smoke and a mirror that draws people's attention (deliberately giving a false impression).,give impression,这就意味着一种烟雾和一面镜子，引起人们的注意(故意给人一种错误的印象)。,这个手段就像是引开人视线的烟雾与镜子（故意给人错误印象）。,1.17216418217883,2017,REFERENCE
"Parker had a better performance than last season. This is not only because his basket efficiency came to the highest level, his chemical reaction with Aldrich also benefits the Spurs.",have performance,帕克的表现比上赛季更好。这不仅是因为他的篮子效率达到了最高水平，他对奥德里奇的化学反应也有利于马刺。,帕克在上个赛季表现得比数据反映的要好些，不仅是因为他的篮下效率来到了生涯最高，他和阿尔德里奇的化学反应也让马刺队受益。,1.37405425472481,2017,REFERENCE
"He had a dispute with commissaires yesterday ahead of the qualification ride, when officials summoned him to measure his height.",have dispute,他昨天与局长发生了争执，此前，官员们传唤他来衡量他的身高。,昨天他在资格赛前与比赛官员发生了争执，当时比赛官员让他测量身高。,1.25060314479525,2017,REFERENCE
"In this regard, the doctor reminded that staying up late has health risks and may lead to cardiovascular disease.",have risk,在这方面，医生提醒说，熬夜有健康风险，可能导致心血管疾病。,对此，医生特别提醒，熬夜看赛事存在健康隐患，有可能引发心血管疾病。,1.30069020315576,2017,REFERENCE
"For me, this was the great attraction of Heathrow, just as it was with London 2012, where we made enormous efforts to ensure that all our nations and regions benefited from the Games.",make effort,对我来说，这也是希思罗机场的巨大吸引力，就像伦敦2012年一样，在那里我们作出了巨大努力，以确保我们所有国家和地区都能受益于奥运会。,对于我而言，这是希思罗的魅力所在，正如在2012年伦敦奥运会时，我们竭尽全力保证我们的国家和地区能够从这些赛事中获益。,1.08865499972171,2017,REFERENCE
"Mind you, that's a given for Moscow which has its own deep-seated fear of regime change.",have fear,意识到你，这是对莫斯科的一种让步，它对政权的改变有自己的深层次的恐惧。,注意，这对于一直对政权更迭怀抱根深蒂固恐惧的莫斯科来说是一种馈赠。,1.46645936638592,2017,REFERENCE
"He had a dispute with commissaires yesterday ahead of the qualification ride, when officials summoned him to measure his height.",have dispute,他昨天与局长发生了争执，此前，官员们传唤他来衡量他的身高。,昨天他在资格赛前与比赛官员发生了争执，当时比赛官员让他测量身高。,1.52815602218257,2017,REFERENCE
"After the case, Haikou City Public Security Bureau of Interpol detachment leaders attach great importance and immediately organize a detachment of elite troops to take the initiative to investigate.",take initiative,在此案发生后，刑警组织的分遣队领导人非常重视并立即组织一支精锐部队的部队，主动进行调查。,案件发生后，海口市公安局刑警支队领导高度重视，立即组织支队一大队精干警力主动出击展开侦查。,1.52815602218257,2017,REFERENCE
We had a good start and at the same time we weren't looking to do anything amazing.,have start,我们有一个良好的开端，同时我们也不想做任何了不起的事。,我们有一个很好的开始，同时我们并没有期盼着做什么惊天动地的大事。,1.00006741167049,2017,REFERENCE
"Madison Reed, which now does monthly employee surveys, has been able to take action the same day a problem is reported on Glint, according to Errett.",do survey,麦迪逊里德，现在做月度员工调查，已经能够采取行动的同一天，一个问题是报告闪烁，据Errett。,埃雷特表示，Madison Reed 现在每月进行员工调查，已经能够在 Glint 报告问题的当天采取行动。,1.08999563580995,2018,REFERENCE
"Very few Indonesians have made the journey here, let alone journalists, and practically no foreigners.",make journey,很少有印尼人来这里旅行，更不用说记者了，几乎没有外国人。,很少有印尼人来到里，更别说新闻记者，也几乎没有外国人。,1.65998875288924,2018,REFERENCE
