src,LVC_Candidate,mt,ref,score,year,system
"It is not just an act of hoarding by hobbyists, either - it has emotional significance: older vinyl buyers are slightly more likely to keep their feelings to themselves (56% versus 53%) and enjoy being alone (69% versus 66%).",have significance,"Это не просто акт рекламного щита людьми, увлеченными своим хобби, любым - у этого есть эмоциональное значение: виниловые покупатели старшего возраста, немного более вероятно, будут держать свои чувства себе (56% против 53%) и любить быть одними (69% против 66%).",Это также и не просто акт собирательства любителями - у этого есть эмоциональное значение: более старшие покупатели винила с несколько большей вероятностью держат свои чувства в себе (56 % против 53 %) и наслаждаются одиночеством (69 % против 66 %).,0.913841156617617,2017,REFERENCE
"Some health resorts even open their doors to guests with infants, providing babies with the necessary conditions and offering the services of an experienced nanny.",offer service,"Некоторые курорты даже открывают свои двери гостям с младенцами, предоставляя младенцам необходимые условия и предлагая услуги опытной няньки.","Некоторые санатории открывают свои двери даже для гостей с младенцами, обеспечивают грудничкам необходимые условия и предоставляют услуги опытной няни.",0.969372557251527,2017,REFERENCE
Russian Copper Company (RMK) is ready to take on social responsibility and pay more attention to the environmental aspects of its business.,take responsibility,Русская медная компания (RMK) готова взять социальную ответственность и уделить больше внимания экологическим аспектам ее бизнеса.,Русская медная компания (РМК) готова брать на себя социальную ответственность и больше внимания уделять экологическим аспектам своего бизнеса.,0.900435304283864,2017,REFERENCE
"While Russians, it turns out, are given special treatment: they have their own chapel.",give treatment,"В то время как русским, это складывается, дают специальный режим: у них есть своя собственная часовня.","Ну а россияне, получается, в привилегированном положении - у них есть собственная часовня.",1.33699638841899,2017,REFERENCE
"We call on the Attorney-General, and Queensland Senator George Brandis to immediately reverse these funding cuts, so people can get the help they need when they're faced with a legal problem.",get help,"Мы обращаемся с просьбой к Генеральному прокурору и сенатору Квинсленда Джорджу Брэндису немедленно полностью изменить эти сокращения финансирования, таким образом, люди могут получить помощь, им нужно, когда они сталкиваются с правовой проблемой.","Мы призываем министра юстиции и сенатора Квинсленда Джорджа Брандиса немедленно аннулировать эти сокращения финансирования, чтобы люди могли получить необходимую помощь, когда они сталкиваются с юридическими проблемами.",1.12920252185123,2017,REFERENCE
"But if I may make a modest case for my particular favorite, let me call attention to the discreet charm of the trampoline.",make case,"Но если я могу сделать скромный случай для своего конкретного фаворита, позвольте мне привлечь внимание к осторожному очарованию батута.","Но если мне позволено робко высказаться в защиту своего личного пристрастия, разрешите обратить ваше внимание на скромное обаяние прыжков на батуте.",1.12920252185123,2017,REFERENCE
But the visit also had additional political value for Moscow.,have value,Но у посещения также была дополнительная политическая стоимость для Москвы.,Но визит также имел дополнительную политическую ценность для Москвы.,1.08926018123555,2017,REFERENCE
"But then, at the World Championships that same year, she had a victory.",have victory,"Но тогда, на чемпионате мира тот же самый год, у нее была победа.",Зато на чемпионате мира в том же году - победа.,1.25441765269118,2017,REFERENCE
"But then, at the World Championships that same year, she had a victory.",have victory,"Но тогда, на чемпионате мира тот же самый год, у нее была победа.",Зато на чемпионате мира в том же году - победа.,1.3782857562829,2017,REFERENCE
"Eight months ago, Erdoğan took a very tough stance against Russia and sought favour in the West by any means.",take stance,Восемь месяцев назад Erdoğan занял очень жесткую позицию по отношению к России и искал пользу на Западе каким-либо образом.,Восемь месяцев назад Эрдоган занимал крайне жесткую позицию в отношении России и всеми способами искал благосклонности на Западе.,1.21312828482727,2017,REFERENCE
"Sergei Kolesnov, CEO of the consulting firm, Pension Partner, notes that Gazfond Pension Savings has fewer outflows, so the accession will help to stabilise the base of the group's other funds.",have outflow,"Сергей Колеснов, генеральный директор консалтинговой фирмы, Pension Partner, отмечает, что у Пенсионных накоплений Газфонда есть меньше оттоков, таким образом, вступление поможет стабилизировать основу других фондов группы.","Как отмечает гендиректор консалтинговой компании ""Пенсионный партнер"" Сергей Околеснов, у ""Газфонда Пенсионные накопления"" меньше оттоков, присоединение позволит стабилизировать базу других фондов группы.",0.934903930767695,2017,REFERENCE
"Charter packages can count on those who have the ability to spontaneously take a vacation’, says Pavel Rumyantsev.",have ability,"Чартерные пакеты могут рассчитывать на тех, у кого есть способность спонтанно взять отпуск’, говорит Павел Румянцев.","Чартерные программы могут рассчитывать на тех, кто имеет возможность отдохнуть спонтанно"", - говорит Павел Румянцев.",0.900435304283864,2017,REFERENCE
