src,VPC_Candidate,Prediction
"""A certain stage of fulfilling the road map criteria has been carried out, RUSADA obtained the right to plan and test in cooperation with UKAD (UK Anti-Doping).",carried out,positive
"""A lot of the stuff I get is late 60s, early 70s, things that came out when I was 11 or 12, things I was probably a bit too young to get,"" he says.",came out,positive
"""Although in territorial retreat, (the Islamic State) remains capable of carrying out high-profile attacks in various parts of the country, including Kabul.",carrying out,positive
"""Antonio Conte has complained about the defending and this player, at the moment is struggling to defend. He is up against very good players in Barnes and Maddison but it is very disappointing."" While the goal was ruled out, Leicester restored their 4-1 lead with Barnes on target nine minutes from full-time. Despite beating Manchester City last week, Tottenham missed the chance to move ahead of Newcastle into third place.",ruled out,positive
"""Apparently, before the show, he saw a doctor, and you know, he's been singing so f***ing great through this tour. I don't know what the f*** is going on. He has been on top of his game.",going on,positive
"""As it turns out it was Harrison who set up and ordered the murders,"" one FBI report concludes.",turns out,positive
"""Bolivia will never give up its right to have access to the Pacific Ocean,"" he added.",give up,positive
"""But I grew up watching Scotland at Hampden a lot with my dad as a kid, and it is always something that has drawn me back.",grew up,positive
"""But after what Tristan did, he can't expect Khloe to roll out the red carpet for him.""",roll out,positive
"""But it's six in the morning on a Sunday there and we won't be able to work this out until Sunday our time, Monday their time.",work out,positive
"""By doing this, we hope to get completely new, young target groups fired up about the VfB,“ says board member Jochen Röttgermann.",fired up,positive
"""Children can go out into the forest with a tablet or mobile phone in their hands,"" said Ivana Poláčková, the coordinator of the project.",go out,positive
"""Come on, Tenuk, you've shapeshifted into a Thraki before!""",Come on,positive
"""Current and former Trump officials say Trump can react volcanically to negative press clips, especially those with damaging leaks, becoming engrossed in finding out where they originated.",finding out,positive
"""Data for citizens that ought not to be showing up there"": according to a report, the Register of Foreigner Nationals in Germany is exhibiting significant defects.",showing up,positive
"""Did you have to drag us along as well?"" Tenuk snapped as he climbed off Thassalin's back, sliding down his tail. ""And we left Retvik behind! We abandoned our big, strong, fighty guy! How is he going to get to us?""",drag along,positive
"""Drake told him to pull out all the stops if he wanted to win Khloe back.",pull out,positive
"""Education workers have been under attack for decades,"" he continued. ""We are finally standing up and fighting back. It's one thing to see classism and the squeezing of the middle class in the corporate world as executives see their relatively obscene pay continue to go up at rates above inflation. But for the same thing to be happening in education is not something workers will continue to tolerate.""",standing up,positive
"""Eilidh has massive respect across the Scottish, UK and world athletics community and we are sure athletics in Scotland would benefit hugely by bringing her on to the board,"" Beattie said.",bringing on,positive
"""Erroneous data entries can significantly slow down return processes,"" the report continues.",slow down,positive
"""Especially when a family has effectively been held hostage and thus likely coerced into giving up claims for investigation for the compensation.""",giving up,positive
"""Every minute an ambulance brings in bodies.",brings in,positive
"""For the past three years, I have carried out my duties as head coach and vice president of hockey operations for the Colorado Avalanche with energy, passion and determination,"" the 50-year-old Roy said in the statement.",carried out,positive
"""Hang yourself, jump off a building, stab yourself I don't know there's a lot of ways,"" she said in several messages sent in the two weeks before his death while he was on holiday with his family.",jump off,positive
"""He (Anzrah) went to the doping check and alleged that he was Ferguson Rotich, handed in the sample, and signed for it,"" explained Stephan Arap Soi, Kenya's Chef de Mission.",handed in,positive
"""He was progressive for his time and ended, for example, the practice of chaining up the so-called mad men.",chaining up,positive
"""He'll work it out..."" Nyssi tutted. ""Retvik's slow but he's not stupid.""",work out,positive
"""Hence, some negative prices pressures could break out in countries with high current account deficits and limited access to foreign funds, like Turkey"" he commented.",break out,positive
"""Her objectives are shoveling cash at the problem and shutting America down,"" the Texas Republican said.",shutting down,positive
"""How can you even think of closing,"" Bojorquez said, ""when the same day Javier was killed the intern asked me to send her out to report on the street?""",send out,positive
"""I came out to vote because of my children, our place is in Europe,"" said Gjose Tanevski, 62, a voter in the capital, Skopje.",came out,positive
"""I didn't get to defend the Extremadura Open because that was taken off the schedule the year after I won it.",taken off,positive
