src,VID_Candidate,Prediction
"""And in particular, you look at the $3 trillion bill she's trying to push, it's just shoveling money to her friends and not actually solving the problem.  Our objective should be Americans want to get back to work.  They want to be able to provide for their family.""",provide for [pron] family,positive
"""And in particular, you look at the $3 trillion bill she's trying to push, it's just shoveling money to her friends and not actually solving the problem. Our objective should be Americans want to get back to work. They want to be able to provide for their family.""",provide for [pron] family,positive
"""Currently we are targeting young people 18 to 24 years. For the young people that's the age bracket we are looking at but of course any one above 18 and it's because we do not have evidence of children by the Constitution but as more evidence unfolds we are going to get there. For the men, we give the kit to the mother and they take it to the partner, key and priority populations such sex workers,"" Mr Geoffrey Tasi, the technical officer-in-charge of HIV testing services, said yesterday.",take it,positive
"""Did you have to drag us along as well?"" Tenuk snapped as he climbed off Thassalin's back, sliding down his tail. ""And we left Retvik behind! We abandoned our big, strong, fighty guy! How is he going to get to us?""",get to [pron],positive
"""Here you walk outside and it's like somebody put a heater on you. I guess that is why they are doing it at night.""",put on [pron],positive
"""I APOLOGIZE BUT I PICKED UP A SCENT. I HAD TO DEAL WITH IT!""",deal with [pron],positive
"""I think he took it as best as you could expect,"" said Doug Durham, one of Haskell's defense attorneys, according to the station. ""He was aware that this was a strong possibility.""",take it,positive
"""I thought about asking, and I thought about even using audio footage - that we have to come up with something - and in the end I didn't ask, and I just thought, 'I'm going to respect her new life and not put her in the position of having to ask'.",come up,positive
"""I thought my elder brother and I cannot afford the college study after my father passed away. It never occurred to me before the county government helped us so timely."" She said gratefully.",occur to [pron],positive
"""I watched Renaissance Club being built, and we're seeing it come to its glory with this event,"" said Rafferty.",come to [pron] glory,positive
"""I wish I could trade places with you son, I wish I could trade places with you,"" Guy Alford, the victim's father, said.",trade with [pron] son,positive
"""I'll have a rest for a bit now and come back for next season ready to go. Fortunately I don't feel my age, my legs are still fine and touch wood I don't pick up many injuries, so it's about keeping on top of that and come back as strong as I can next year.""",touch wood,positive
"""In order not to miss this connection at least, they agreed with her that they would count out loud,"" the spokesman said.",agree with [pron],positive
"""It is not an easy task to get it there, but I would probably only view myself as being successful here if I can get the club back there.""",get it,positive
"""It never occurred to me that the Mexican audience were so enthusiastic. I had some worries about whether they could understand the story, but it was beyond my expectation to see them catch the story and the laughter today.",occur to [pron],positive
"""It was just trying to get into that position, to get on the ball and players like Shaq always play it forward as much as possible, so I just tried to create myself as much time as possible,"" Sturridge told LiverpoolFC.com.",play it,positive
"""It's clear we are going to completely break up this group,"" Duque said in a statement from the United States, where he traveled for the United Nations General Assembly this week.",break up,positive
"""It's just not about the committee vote or the final vote or whether Kavanaugh is put on the bench, it's also about the way Republicans have handled this and how they have treated her,"" Guy Cecil, director of Priorities USA, a group that helps to elect Democrats, pointed out to the news channel.",put on the bench,positive
"""It's time for women to go to Washington and fix our broken government and that includes a woman at the top,"" she said, according to The Hill.",go to washington,positive
"""It's very rare for this type of thing to come up,"" he said.",come up,positive
"""Later, we'll take it off the judge's salary,"" the Kremlin critic joked on Twitter.",take it,positive
"""Mexico is going to hell, and that's why I became a reporter,"" he said.",go to hell,positive
"""My wife writes down the numbers for me during the drawing,"" Lancaster said. ""When she handed me the paper, so I could check my ticket, I couldn't believe it. One of my lines matched five numbers and the other ones matched four numbers. I started shouting, 'I got it! I got it! I hit the lottery!'""",get it,positive
"""Nad was calling regularly to say it was really bad, that she wasn't expected to make it,"" said Mrs Ednan-Laperouse.",make it,positive
"""That [1 percent cut] is supposed to be motivation and leverage to get 12 separate bills done,"" Massie told Newsweek. ""So, I think we could do a one-year CR, we can argue, and then we hit that tiny little bump in the road, then hopefully everybody's motivated to come to their senses. That's the way I would do it.""",come to [pron] sense,positive
"""That's what this astonishing ship will be here to do, to find out the facts and find the science with which to deal with problems that are facing the world today and will increasingly do so tomorrow.""",deal with [pron],positive
"""The shot is far below the dew point, the instant you take it out, it's just soaking wet and it's dripping water,"" the American said. ""It's worse than if it was pouring down rain... We've been fighting this a little bit.""",take it,positive
"""This is all wrong. I shouldn't be up here. I should be back in school on the other side of the ocean yet you all come to us young people for hope. How dare you?"" she said, her voice quavering with emotion.",come to [pron],positive
"""This is not solely to protect against electoral fraud, but to protect local government from the broader culture of corruption and financial fraud that goes hand in hand with it,"" he said.",go with [pron],positive
"""We all need to learn to put our phones down from time to time,"" said Janina Kugel, Siemens HR Director.",put down,positive
"""We're putting this enormous load on them for three or four days and it's very challenging,"" Mora said.",put on [pron],positive
