src,LVC_Candidate,Prediction
"A tight labor market means workers have more leverage, and when workers have more leverage, they get the nice office chairs with lumbar support, Cramer said, alluding to Herman Miller's Aeron chairs.",have leverage,positive
"After November 6, I will take a hard look at running for president.",take look,positive
"All nations have a duty to act, Trump said regarding his call to counter Iranian behavior. No responsible government should subsidize Iran's bloodlust. As long as Iran's menacing behavior continues, sanctions will not be lifted, they will be tightened.",have duty,positive
"All of these devices should be at hand for the cops to use other than deadly physical force being used by a firearm because it's the only profession in America where the citizens give you the right to take your life, said Corey Pegues, former New York Police Department Deputy Inspector.",give right,positive
And obviously it has some impact here.,have impact,positive
"But I understood that with doing this work and humanizing black folks, there has to be a level of vulnerability.",do work,positive
"But the change in water color certainly has no effect on health, especially for athletes.",have effect,positive
"But these hours don't have nearly so much impact for around 750 people in the education sector, says Sonja Pommeranz.",have impact,positive
"Currently, 86 per cent people living with HIV know their status; that means it leave us with 14 per cent of those living with HIV and do not know their status. So how do we now utilise that additional innovation. Really for me this is it ... how do we now move from this kit and create demand, especially for that 14 per cent that are sick and they need care and they are not getting care, Dr Atwine said.",get care,positive
"DHS will continue prioritizing its work to protect our country from terrorism, respond to natural disasters, and secure our borders while responding appropriately to the over 70 Congressional committees and subcommittees that have oversight of DHS.",have oversight,positive
Each coach has his own method to choose the potential player. I decided to take her once I saw her beautiful hands.,have method,positive
"Eilidh has massive respect across the Scottish, UK and world athletics community and we are sure athletics in Scotland would benefit hugely by bringing her on to the board, Beattie said.",have respect,positive
Especially when a family has effectively been held hostage and thus likely coerced into giving up claims for investigation for the compensation.,give claim,positive
"Giving compensation without an investigation or criminal accountability for the perpetrator is not true redress nor will it effectively prevent torture, said Frances Eve, deputy director of research at CHRD.",give compensation,positive
"HSBC does not have any hostility towards Huawei and did not frame Huawei, the bank said on Saturday, adding that it would never distort any facts about its clients.",have hostility,positive
"Hainan, as an international tourist island, is gradually paying attention to attract international tourists. We hope to improve their ability to match the status of international tourism island.",pay attention,positive
"I had an idea of Lestat as the man of action, the man who could do things that I couldn't do, Rice said in a talk at Southern Illinois University in 2010.",have idea,positive
I had no experience in organizing.,have experience,positive
"I have a big problem when a third state interferes in our energy supply, Dieter Kempf, head of the Federation of German Industries (BDI) said following a recent meeting between German Chancellor Angela Merkel and Russian President Vladimir Putin.",have problem,positive
"I have played for Pakistan and I serve Pakistan cricket in some capacity or the other, so when I was asked to join the committee to decide about the head coach I gave my honest opinion, Wasim told AFP in Karachi.",give opinion,positive
"I really can't think of a better thing to do than to sort of check in with the boss before we move forward, he told reporters. It's actually good timing that we get a chance to go home, catch our breath, get the perspective of people back home, explain what we're doing, and then come back and move forward accordingly.",get chance,positive
"I think what we would like to see are the conditions whereby India and Pakistan can have a constructive conversation that leads to an improvement of relations between the two nuclear powers, said Alice Wells, US Acting Assistant Secretary for South and Central Asia.",have conversation,positive
"I understand it is disruptive for those going through this who are in Spain or have been considering going but we must be able to take swift, decisive action to protect the UK, he said.",take action,positive
"I want to personally apologize for the wrong artistic choice of concept for the gifting campaign with the kids and I take my responsibility, he told Vogue, echoing a previous statement he posted to social media in December.",take responsibility,positive
I will be happier if they get me four of four but they did a great effort for me.,do effort,positive
"I would like to offer my warmest congratulations to Scott, Chester and Lola on this fantastic achievement, alongside the other Dundee representatives who were highly commended.",offer congratulation,positive
"I'll have a rest for a bit now and come back for next season ready to go. Fortunately I don't feel my age, my legs are still fine and touch wood I don't pick up many injuries, so it's about keeping on top of that and come back as strong as I can next year.",have rest,positive
"I'm a keyworker - I'm a teacher - and my boyfriend has work commitments so we cannot quarantine for 14 days when we return, she said.",have commitment,positive
I'm going to take a real look at everything we've changed recently.,take look,positive
"I've had reason to think about this, and I don't think the type of measurement being used should be.",have reason,positive
"If candidate Trump was upset about unfair coverage, it was productive to show him that he was getting fair coverage from outlets that were persuadable, Sam Nunberg, a former campaign adviser, told Politico in February.",get coverage,positive
"If you're going to ask for 4,000 suggestions, you need to be prepared to have 4,000 conversations, said Russell Raath, president of consulting at business management firm Kotter International, who has seen companies make the mistake of relying too much on data collection.",have conversation,positive
"In a rudimentary form, a real estate agent will walk in and do a calculation based on floor size.",do calculation,positive
"In addition to seeing which stories are disputed by third-party fact checkers, people want more context to make informed decisions about what they read and share, said Sara Su, Facebook news feed product manager, in a blog.",make decision,positive
